global_step,epoch,pair_index,objective,chosen_image_path,rejected_image_path,dpo_pair_key,timestep,chosen_reward,rejected_reward,reward_margin,accuracy,preference_loss,chosen_reward_push_loss,chosen_reward_floor_loss,chosen_reward_anchor_loss,pair_loss
1,0,0,SIGMOID,/workspace/DPO_finished/896/winner/LottaS41.png,/workspace/DPO_finished/896/loser/LottaS41.jpg,LottaS41,346,-2.0518898963928223e-05,-2.847611904144287e-05,7.957220077514648e-06,1.0,0.6919543147087097,0.13134117424488068,0.0750410407781601,0.10787633061408997,0.7998306751251221
28,0,0,SIGMOID,/workspace/DPO_finished/896/winner/LottaS62.png,/workspace/DPO_finished/896/loser/LottaS62.jpg,LottaS62,554,8.255243301391602e-06,7.059425115585327e-05,-6.233900785446167e-05,0.0,0.702541708946228,0.13132013380527496,0.07498349249362946,0.1078135222196579,0.8103552460670471
30,0,0,SIGMOID,/workspace/DPO_finished/1280/winner/2fts.jpg,/workspace/DPO_finished/1280/loser/2fts.jpg,2fts,618,3.610178828239441e-05,6.326287984848022e-05,-2.7161091566085815e-05,0.0,0.6972296237945557,0.13129977881908417,0.07492781430482864,0.10775275528430939,0.8049823641777039
58,0,0,SIGMOID,/workspace/DPO_finished/1280/winner/4ftf.jpg,/workspace/DPO_finished/1280/loser/4ftf.jpg,4ftf,288,-8.977949619293213e-06,0.00010734051465988159,-0.0001163184642791748,0.0,0.7107471823692322,0.13133274018764496,0.07501795887947083,0.10785114765167236,0.8185983300209045
62,0,0,SIGMOID,/workspace/DPO_finished/1024/winner/LeSscissoring11.png,/workspace/DPO_finished/1024/loser/LeSscissoring11.jpg,LeSscissoring11,779,-4.375725984573364e-05,-3.8057565689086914e-05,-5.6996941566467285e-06,0.0,0.6940025091171265,0.13135817646980286,0.0750875324010849,0.10792707651853561,0.8019295930862427
63,0,0,SIGMOID,/workspace/DPO_finished/1024/winner/JuleJ2nd55.jpg,/workspace/DPO_finished/1024/loser/JuleJ2nd55.jpg,JuleJ2nd55,565,8.3141028881073e-05,4.0568411350250244e-05,4.2572617530822754e-05,1.0,0.6867817044258118,0.13126540184020996,0.07483378797769547,0.10765013843774796,0.7944318652153015
64,0,0,SIGMOID,/workspace/DPO_finished/1280/winner/5fts.jpg,/workspace/DPO_finished/1280/loser/5fts.jpg,5fts,435,-5.9276819229125977e-05,-5.584210157394409e-05,-3.4347176551818848e-06,0.0,0.6936625242233276,0.13136951625347137,0.07511858642101288,0.10796096920967102,0.8016234636306763
70,0,0,SIGMOID,/workspace/DPO_finished/768/winner/2sl.jpg,/workspace/DPO_finished/768/loser/2sl.jpg,2sl,698,8.429959416389465e-05,-2.2003427147865295e-05,0.00010630302131175995,1.0,0.677328884601593,0.1312645524740219,0.07483147084712982,0.1076476126909256,0.7849764823913574
84,0,0,SIGMOID,/workspace/DPO_finished/896/winner/ShirtPullUp18.png,/workspace/DPO_finished/896/loser/ShirtPullUp18.jpg,ShirtPullUp18,665,5.1565468311309814e-05,-0.00024153664708137512,0.00029310211539268494,1.0,0.6501480340957642,0.13128846883773804,0.074896901845932,0.10771901905536652,0.7578670382499695
89,0,0,SIGMOID,/workspace/DPO_finished/640/winner/JuleJ2nd54.png,/workspace/DPO_finished/640/loser/JuleJ2nd54.jpg,JuleJ2nd54,583,0.000249423086643219,9.926408529281616e-05,0.00015015900135040283,1.0,0.6708769798278809,0.13114388287067413,0.07450177520513535,0.10728774964809418,0.7781647443771362
123,0,0,SIGMOID,/workspace/DPO_finished/1152/winner/ShirtPullUp4.png,/workspace/DPO_finished/1152/loser/ShirtPullUp4.jpg,ShirtPullUp4,515,8.746981620788574e-06,-4.6834349632263184e-05,5.558133125305176e-05,1.0,0.6848447322845459,0.1313197910785675,0.07498250901699066,0.10781245678663254,0.792657196521759
145,0,0,SIGMOID,/workspace/DPO_finished/1440/winner/ShirtPullUp9.png,/workspace/DPO_finished/1440/loser/ShirtPullUp9.jpg,ShirtPullUp9,856,0.0005047433078289032,0.00021971017122268677,0.00028503313660621643,1.0,0.6513059139251709,0.13095742464065552,0.07399306446313858,0.10673242062330246,0.758038341999054
158,0,0,SIGMOID,/workspace/DPO_finished/1152/winner/AlicaN12.png,/workspace/DPO_finished/1152/loser/AlicaN12.jpg,AlicaN12,447,2.8185546398162842e-05,0.00014054030179977417,-0.00011235475540161133,0.0,0.7101424336433411,0.13130556046962738,0.07494363933801651,0.10777002573013306,0.8179124593734741
163,0,0,SIGMOID,/workspace/DPO_finished/768/winner/KseniiaK30.png,/workspace/DPO_finished/768/loser/KseniiaK30.jpg,KseniiaK30,645,-6.43804669380188e-05,-5.4210424423217773e-05,-1.0170042514801025e-05,0.0,0.6946738958358765,0.13137325644493103,0.07512880861759186,0.10797212272882462,0.8026460409164429
